Model,Feature,Importance
cleaned_serviceindustry 3_LinearRegression,project_prf_case_tool_used_missing,212.0
cleaned_insurance 3_LassoLars,tech_tf_language_type_3gl,209.4925822550849
cleaned_serviceindustry 2_BayesianRidge,project_prf_case_tool_used_missing,208.95465194577227
cleaned_serviceindustry 2_BayesianRidge,project_prf_team_size_group_missing,207.8319189234591
cleaned_serviceindustry 3_LinearRegression,project_prf_team_size_group_missing,207.75
cleaned_serviceindustry 2_BayesianRidge,tech_tf_architecture_multi_tier,205.8190421622567
cleaned_insurance 2_Lasso,tech_tf_language_type_3gl,205.16374494826516
cleaned_serviceindustry 3_LinearRegression,tech_tf_architecture_multi_tier,204.6875
cleaned_medical 3_BayesianRidge,tech_tf_development_platform_mf,204.51434653029526
cleaned_financial 3_BayesianRidge,tech_tf_development_platform_mf,204.51434653029526
cleaned_serviceindustry 2_BayesianRidge,project_prf_normalised_work_effort,202.32220533796692
cleaned_communication 3_LassoLars,project_prf_year_of_project,195.4567153464066
cleaned_serviceindustry 3_LinearRegression,project_prf_normalised_work_effort,195.0
cleaned_communication 3_LassoLars,project_prf_relative_size_m1,194.45374338871102
cleaned_communication 2_Lasso,project_prf_relative_size_m1,188.84920961130277
cleaned_financial 3_BayesianRidge,functional_size_group_xxl_9000_17999,188.7907689582072
cleaned_medical 3_BayesianRidge,functional_size_group_xxl_9000_17999,188.7907689582072
cleaned_serviceindustry 3_LinearRegression,tech_tf_dbms_used_missing,188.75
cleaned_communication 2_Lasso,project_prf_year_of_project,188.74401634255432
cleaned_financial 3_BayesianRidge,tech_tf_language_type_missing,187.17867530180436
cleaned_medical 3_BayesianRidge,tech_tf_language_type_missing,187.17867530180436
cleaned_communication 1_BayesianRidge,project_prf_year_of_project,186.81260626419373
cleaned_communication 1_BayesianRidge,project_prf_relative_size_m1,186.6062624953246
cleaned_financial 3_BayesianRidge,tech_tf_development_platform_multi,185.24879554887445
cleaned_medical 3_BayesianRidge,tech_tf_development_platform_multi,185.24879554887445
cleaned_serviceindustry 2_BayesianRidge,tech_tf_dbms_used_missing,183.5717286993359
cleaned_serviceindustry 2_BayesianRidge,project_prf_development_type_enhancement,182.60481109851418
cleaned_serviceindustry 2_BayesianRidge,tech_tf_server_roles_object_component_server,181.36366339510764
cleaned_serviceindustry 2_BayesianRidge,tech_tf_client_roles_data_retrieval_and_presentation,176.53977019442925
cleaned_serviceindustry 3_LinearRegression,project_prf_development_type_enhancement,173.0
cleaned_serviceindustry 3_LinearRegression,project_prf_relative_size_xs,172.875
cleaned_serviceindustry 2_BayesianRidge,project_prf_relative_size_xs,170.30729571048852
cleaned_serviceindustry 2_BayesianRidge,process_pmf_development_methodologies_agile_development,164.21878981848073
cleaned_serviceindustry 2_BayesianRidge,project_prf_functional_size,159.74410840225127
cleaned_serviceindustry 3_LinearRegression,functional_size_group_m_100_999,158.0
cleaned_financial 3_BayesianRidge,project_prf_application_group_business_application,157.33276046421648
cleaned_medical 3_BayesianRidge,project_prf_application_group_business_application,157.33276046421648
cleaned_serviceindustry 2_BayesianRidge,process_pmf_development_methodologies_unified_process,150.87017674670966
cleaned_communication 3_LassoLars,tech_tf_primary_programming_language,149.03155044905776
cleaned_communication 3_LassoLars,project_prf_application_type,148.38406395011518
cleaned_serviceindustry 2_BayesianRidge,functional_size_group_m_100_999,146.40816979000184
cleaned_serviceindustry 2_BayesianRidge,process_pmf_development_methodologies_waterfall_incl_linear_processing_and_ssadm,145.12191719855844
cleaned_communication 1_BayesianRidge,tech_tf_primary_programming_language,143.8173157197563
cleaned_communication 1_BayesianRidge,project_prf_relative_size_s,143.74802497778919
cleaned_communication 1_BayesianRidge,project_prf_application_type,143.387470332038
cleaned_serviceindustry 2_BayesianRidge,tech_tf_client_roles_web_html_browser,142.43899795290088
cleaned_financial 3_BayesianRidge,project_prf_relative_size_xxs,140.88802861425557
cleaned_medical 3_BayesianRidge,project_prf_relative_size_xxs,140.88802861425557
cleaned_communication 2_Lasso,project_prf_application_type,140.71192102227099
cleaned_communication 3_LassoLars,project_prf_relative_size_s,140.17888534141383
cleaned_serviceindustry 2_BayesianRidge,project_prf_relative_size_m1,139.0532136328925
cleaned_communication 2_Lasso,tech_tf_primary_programming_language,138.25010911755382
cleaned_serviceindustry 3_LinearRegression,project_prf_relative_size_m1,137.5
cleaned_communication 3_LassoLars,tech_tf_language_type_4gl,136.2223226762924
cleaned_communication 2_Lasso,project_prf_relative_size_s,135.12865879894412
cleaned_communication 3_LassoLars,tech_tf_architecture_multi_tier,132.02148303380326
cleaned_insurance 3_LassoLars,project_prf_development_type_new_development,131.92066613356175
cleaned_serviceindustry 3_LinearRegression,project_prf_team_size_group_9_14,131.25
cleaned_communication 1_BayesianRidge,tech_tf_language_type_4gl,130.72023583088748
cleaned_communication 2_Lasso,tech_tf_language_type_4gl,130.68052767895713
cleaned_serviceindustry 2_BayesianRidge,tech_tf_client_roles_data_entry_and_validation,130.2194557218608
cleaned_communication 1_BayesianRidge,tech_tf_architecture_multi_tier,129.71619288157132
cleaned_medical 3_BayesianRidge,tech_tf_development_platform_mr,129.11682022015745
cleaned_financial 3_BayesianRidge,tech_tf_development_platform_mr,129.11682022015745
cleaned_serviceindustry 2_BayesianRidge,tech_tf_server_roles_mail_server,128.35965050575788
cleaned_communication 2_Lasso,tech_tf_architecture_multi_tier,127.87655240134994
cleaned_insurance 2_Lasso,project_prf_development_type_new_development,126.781279172649
cleaned_medical 3_BayesianRidge,project_prf_relative_size_s,124.91026269404878
cleaned_financial 3_BayesianRidge,project_prf_relative_size_s,124.91026269404878
cleaned_communication 3_LassoLars,project_prf_relative_size_missing,122.86217906727398
cleaned_financial 3_BayesianRidge,project_prf_relative_size_missing,119.36187991322089
cleaned_medical 3_BayesianRidge,project_prf_relative_size_missing,119.36187991322089
cleaned_communication 1_BayesianRidge,project_prf_relative_size_missing,119.0790426722516
cleaned_serviceindustry 2_BayesianRidge,project_prf_team_size_group_9_14,118.46438843811151
cleaned_financial 3_BayesianRidge,functional_size_group_s_100,116.1519393010949
cleaned_medical 3_BayesianRidge,functional_size_group_s_100,116.1519393010949
cleaned_insurance 3_LassoLars,project_prf_development_type_enhancement,116.13366502234196
cleaned_communication 2_Lasso,project_prf_relative_size_missing,115.76242892656461
cleaned_financial 3_BayesianRidge,project_prf_relative_size_m2,114.79672170634024
cleaned_medical 3_BayesianRidge,project_prf_relative_size_m2,114.79672170634024
cleaned_medical 3_BayesianRidge,tech_tf_client_server_yes,113.84712709496648
cleaned_financial 3_BayesianRidge,tech_tf_client_server_yes,113.84712709496648
cleaned_insurance 3_LassoLars,tech_tf_language_type_missing,112.67763925346027
cleaned_insurance 2_Lasso,project_prf_development_type_enhancement,112.23956062267162
cleaned_medical 3_BayesianRidge,tech_tf_tools_used,111.98104084547026
cleaned_financial 3_BayesianRidge,tech_tf_tools_used,111.98104084547026
cleaned_insurance 3_LassoLars,tech_tf_architecture_missing,111.95949380735736
cleaned_financial 3_BayesianRidge,process_pmf_development_methodologies_agile_development,111.5320740508264
cleaned_medical 3_BayesianRidge,process_pmf_development_methodologies_agile_development,111.5320740508264
cleaned_insurance 2_Lasso,tech_tf_architecture_missing,111.14786225200346
cleaned_serviceindustry 3_LinearRegression,tech_tf_architecture_stand_alone,111.0
cleaned_insurance 3_LassoLars,tech_tf_architecture_multi_tier,110.87386015768556
cleaned_medical 3_BayesianRidge,project_prf_normalised_work_effort,110.85541631201735
cleaned_financial 3_BayesianRidge,project_prf_normalised_work_effort,110.85541631201735
cleaned_medical 3_BayesianRidge,external_eef_organisation_type_banking_insurance_stock,109.88711900058773
cleaned_financial 3_BayesianRidge,external_eef_organisation_type_banking_insurance_stock,109.88711900058773
cleaned_serviceindustry 2_BayesianRidge,tech_tf_server_roles_multi_user_legacy_application,108.02617280798283
cleaned_insurance 2_Lasso,tech_tf_language_type_missing,107.01979355414683
cleaned_serviceindustry 2_BayesianRidge,tech_tf_server_roles_file_print_server,106.74077461606208
cleaned_serviceindustry 2_BayesianRidge,external_eef_organisation_type,104.81288500618746
cleaned_serviceindustry 2_BayesianRidge,tech_tf_architecture_stand_alone,104.68425360576731
cleaned_insurance 2_Lasso,tech_tf_architecture_multi_tier,104.17606239439029
cleaned_medical 3_BayesianRidge,process_pmf_docs,103.57158895075356
cleaned_financial 3_BayesianRidge,process_pmf_docs,103.57158895075356
cleaned_insurance 3_LassoLars,tech_tf_development_platform_missing,102.83559577210261
cleaned_insurance 2_Lasso,tech_tf_development_platform_missing,101.9895901856014
cleaned_serviceindustry 3_LinearRegression,project_prf_relative_size_missing,101.875
cleaned_serviceindustry 2_BayesianRidge,people_prf_personnel_changes,101.62032984373619
cleaned_insurance 3_LassoLars,project_prf_relative_size_s,101.60681691393569
cleaned_insurance 2_Lasso,project_prf_relative_size_s,99.9934654103019
cleaned_serviceindustry 3_LinearRegression,tech_tf_architecture_multi_tier_with_web_public_interface,99.75
cleaned_serviceindustry 2_BayesianRidge,project_prf_relative_size_missing,99.64714238719725
cleaned_serviceindustry 2_BayesianRidge,project_prf_max_team_size,98.8445145242454
cleaned_serviceindustry 2_BayesianRidge,tech_tf_architecture_multi_tier_with_web_public_interface,98.42734809184464
cleaned_communication 3_LassoLars,tech_tf_architecture_multi_tier_with_web_public_interface,97.28956367668438
cleaned_communication 3_LassoLars,project_prf_application_group_real_time_application,96.3816046054721
cleaned_medical 3_BayesianRidge,process_pmf_development_methodologies_lean,96.30592652723354
cleaned_financial 3_BayesianRidge,process_pmf_development_methodologies_lean,96.30592652723354
cleaned_communication 3_LassoLars,project_prf_development_type_enhancement,94.84731253912376
cleaned_communication 1_BayesianRidge,project_prf_application_group_real_time_application,93.99613742463197
cleaned_communication 1_BayesianRidge,tech_tf_architecture_multi_tier_with_web_public_interface,93.84859160014716
cleaned_communication 1_BayesianRidge,project_prf_development_type_enhancement,92.40741399120475
cleaned_communication 3_LassoLars,tech_tf_language_type_3gl,91.9541313965562
cleaned_communication 2_Lasso,tech_tf_architecture_multi_tier_with_web_public_interface,91.07255666823444
cleaned_financial 3_BayesianRidge,project_prf_team_size_group_15_20,90.44708879525788
cleaned_medical 3_BayesianRidge,project_prf_team_size_group_15_20,90.44708879525788
cleaned_communication 3_LassoLars,process_pmf_development_methodologies_timeboxing,90.33137648747436
cleaned_financial 3_BayesianRidge,tech_tf_dbms_used_yes,90.06418127774612
cleaned_medical 3_BayesianRidge,tech_tf_dbms_used_yes,90.06418127774612
cleaned_financial 3_BayesianRidge,tech_tf_architecture_multi_tier_with_web_public_interface,89.471241749798
cleaned_medical 3_BayesianRidge,tech_tf_architecture_multi_tier_with_web_public_interface,89.471241749798
cleaned_communication 2_Lasso,project_prf_application_group_real_time_application,89.16990986675336
cleaned_insurance 3_LassoLars,process_pmf_prototyping_used_yes,88.64794565545819
cleaned_serviceindustry 2_BayesianRidge,tech_tf_primary_programming_language,88.57880089284109
cleaned_communication 2_Lasso,project_prf_development_type_enhancement,88.49717947212254
cleaned_medical 3_BayesianRidge,project_prf_functional_size,88.41927387211405
cleaned_financial 3_BayesianRidge,project_prf_functional_size,88.41927387211405
cleaned_communication 1_BayesianRidge,tech_tf_language_type_3gl,88.32049917338198
cleaned_communication 1_BayesianRidge,process_pmf_development_methodologies_timeboxing,88.10650856858561
cleaned_serviceindustry 3_LinearRegression,project_prf_team_size_group_21_30,87.75
cleaned_communication 3_LassoLars,tech_tf_architecture_missing,87.68703036592012
cleaned_serviceindustry 3_LinearRegression,functional_size_group_l_1000_2999,87.625
cleaned_communication 3_LassoLars,tech_tf_development_platform_missing,87.55461401979383
cleaned_serviceindustry 2_BayesianRidge,project_prf_team_size_group_21_30,87.14086030967124
cleaned_communication 3_LassoLars,project_prf_application_group_missing,87.11474833354613
cleaned_serviceindustry 2_BayesianRidge,functional_size_group_l_1000_2999,86.41466529059178
cleaned_communication 1_BayesianRidge,tech_tf_architecture_missing,85.94315285329114
cleaned_communication 2_Lasso,tech_tf_language_type_3gl,85.8504698382101
cleaned_insurance 2_Lasso,process_pmf_prototyping_used_yes,85.33209992845383
cleaned_communication 1_BayesianRidge,tech_tf_development_platform_missing,85.29503550628274
cleaned_insurance 3_LassoLars,project_prf_application_group_missing,84.72087943077308
cleaned_communication 3_LassoLars,process_pmf_docs,84.71311016551888
cleaned_serviceindustry 2_BayesianRidge,tech_tf_tools_used,84.59525700070033
cleaned_communication 3_LassoLars,process_pmf_prototyping_used_missing,84.55369491597817
cleaned_communication 1_BayesianRidge,project_prf_application_group_missing,83.90116536513507
cleaned_financial 3_BayesianRidge,project_prf_team_size_group_1,83.78150752735695
cleaned_medical 3_BayesianRidge,project_prf_team_size_group_1,83.78150752735695
cleaned_communication 1_BayesianRidge,process_pmf_prototyping_used_missing,83.62663039343349
cleaned_serviceindustry 3_LinearRegression,tech_tf_language_type_5gl,83.5
cleaned_insurance 3_LassoLars,tech_tf_language_type_4gl,83.49785688819148
cleaned_communication 2_Lasso,tech_tf_architecture_missing,82.87453326868521
cleaned_communication 2_Lasso,process_pmf_development_methodologies_timeboxing,81.9211556517125
cleaned_financial 3_BayesianRidge,external_eef_organisation_type_wholesale_and_retail_trade,81.50308401819757
cleaned_medical 3_BayesianRidge,external_eef_organisation_type_wholesale_and_retail_trade,81.50308401819757
cleaned_financial 3_BayesianRidge,external_eef_organisation_type_financial_banking_insurance_stock,80.26778330831351
cleaned_medical 3_BayesianRidge,external_eef_organisation_type_financial_banking_insurance_stock,80.26778330831351
cleaned_communication 2_Lasso,project_prf_application_group_missing,80.13467346508973
cleaned_communication 2_Lasso,tech_tf_development_platform_missing,79.98773747729058
cleaned_insurance 2_Lasso,project_prf_application_group_missing,79.73206666496692
cleaned_serviceindustry 2_BayesianRidge,tech_tf_language_type_5gl,79.0415426157698
cleaned_financial 2_LGBMRegressor,project_prf_relative_size_xl,79.0
cleaned_medical 2_LGBMRegressor,project_prf_relative_size_xl,79.0
cleaned_serviceindustry 2_BayesianRidge,tech_tf_server_roles_missing,78.65774467262887
cleaned_insurance 3_LassoLars,tech_tf_primary_programming_language,78.54583918516046
cleaned_communication 3_LassoLars,process_pmf_prototyping_used_yes,77.71239081128915
cleaned_communication 3_LassoLars,functional_size_group_s_100,77.63102554953728
cleaned_communication 2_Lasso,process_pmf_prototyping_used_missing,77.38952686730518
cleaned_serviceindustry 2_BayesianRidge,project_prf_application_type,77.11804660407249
cleaned_financial 3_BayesianRidge,project_prf_team_size_group_21_30,77.01736982909952
cleaned_medical 3_BayesianRidge,project_prf_team_size_group_21_30,77.01736982909952
cleaned_insurance 3_LassoLars,tech_tf_development_platform_multi,76.59442632542078
cleaned_serviceindustry 3_LinearRegression,tech_tf_development_platform_missing,76.5
cleaned_medical 3_BayesianRidge,project_prf_application_group_missing,76.40409858847477
cleaned_financial 3_BayesianRidge,project_prf_application_group_missing,76.40409858847477
cleaned_serviceindustry 2_BayesianRidge,tech_tf_development_platform_missing,75.91282876646594
cleaned_communication 3_LassoLars,project_prf_relative_size_l,75.86613105395614
cleaned_medical 3_BayesianRidge,tech_tf_client_server_missing,75.63641201488664
cleaned_financial 3_BayesianRidge,tech_tf_client_server_missing,75.63641201488664
cleaned_insurance 3_LassoLars,tech_tf_development_platform_pc,74.78988051132207
cleaned_serviceindustry 2_BayesianRidge,tech_tf_server_roles_html_web_server,74.7788426591766
cleaned_insurance 2_Lasso,tech_tf_language_type_4gl,74.53181523111158
cleaned_communication 1_BayesianRidge,project_prf_relative_size_l,74.4006282110989
cleaned_insurance 3_LassoLars,tech_tf_client_server_no,73.97801201918485
cleaned_communication 1_BayesianRidge,process_pmf_prototyping_used_yes,73.74645744491583
cleaned_serviceindustry 2_BayesianRidge,tech_tf_architecture_missing,72.75366942990954
cleaned_medical 3_BayesianRidge,project_prf_relative_size_l,72.73018829484833
cleaned_financial 3_BayesianRidge,project_prf_relative_size_l,72.73018829484833
cleaned_medical 3_BayesianRidge,tech_tf_architecture_missing,71.54926098201723
cleaned_financial 3_BayesianRidge,tech_tf_architecture_missing,71.54926098201723
cleaned_medical 3_BayesianRidge,external_eef_organisation_type_medical_and_health_care,71.1949605870617
cleaned_financial 3_BayesianRidge,external_eef_organisation_type_medical_and_health_care,71.1949605870617
cleaned_financial 3_BayesianRidge,tech_tf_development_platform_missing,70.94274402660719
cleaned_medical 3_BayesianRidge,tech_tf_development_platform_missing,70.94274402660719
cleaned_communication 1_BayesianRidge,process_pmf_docs,70.42739835232231
cleaned_insurance 3_LassoLars,tech_tf_development_platform_mr,70.33338078536154
cleaned_insurance 2_Lasso,tech_tf_primary_programming_language,69.93172326014103
cleaned_communication 3_LassoLars,tech_tf_development_platform_pc,69.81436634255752
cleaned_medical 3_BayesianRidge,project_prf_relative_size_xxl,69.5313325452705
cleaned_financial 3_BayesianRidge,project_prf_relative_size_xxl,69.5313325452705
cleaned_serviceindustry 3_LinearRegression,tech_tf_architecture_missing,69.5
cleaned_communication 1_BayesianRidge,tech_tf_development_platform_pc,69.47259909892755
cleaned_communication 3_LassoLars,tech_tf_development_platform_multi,69.26406114847016
cleaned_communication 2_Lasso,project_prf_relative_size_l,69.25262726943522
cleaned_financial 3_BayesianRidge,project_prf_team_size_group_2,68.23122908172564
cleaned_medical 3_BayesianRidge,project_prf_team_size_group_2,68.23122908172564
cleaned_insurance 2_Lasso,tech_tf_development_platform_pc,68.11107166463836
cleaned_medical 3_BayesianRidge,project_prf_team_size_group_missing,67.36175391473111
cleaned_financial 3_BayesianRidge,project_prf_team_size_group_missing,67.36175391473111
cleaned_communication 1_BayesianRidge,tech_tf_development_platform_multi,67.23899836872619
cleaned_communication 2_Lasso,process_pmf_docs,67.23541360976442
cleaned_medical 3_BayesianRidge,process_pmf_development_methodologies_unified_process,66.59342307265189
cleaned_financial 3_BayesianRidge,process_pmf_development_methodologies_unified_process,66.59342307265189
cleaned_insurance 2_Lasso,tech_tf_client_server_no,66.204251848087
cleaned_serviceindustry 2_BayesianRidge,external_eef_industry_sector_service_industry,65.95723770284292
cleaned_communication 3_LassoLars,tech_tf_language_type_missing,65.68027947928408
cleaned_insurance 2_Lasso,tech_tf_development_platform_multi,65.00792342364436
cleaned_serviceindustry 2_BayesianRidge,project_prf_application_group_business_application,64.80356044688196
cleaned_insurance 3_LassoLars,project_prf_relative_size_m1,64.55307661114124
cleaned_communication 2_Lasso,process_pmf_prototyping_used_yes,64.43705209032265
cleaned_serviceindustry 2_BayesianRidge,project_prf_team_size_group_2,64.0620081346965
cleaned_insurance 3_LassoLars,tech_tf_language_type_5gl,63.413456521707275
cleaned_communication 1_BayesianRidge,tech_tf_language_type_missing,63.33160141026923
cleaned_communication 2_Lasso,tech_tf_development_platform_multi,63.25475004967302
