project_prf_year_of_project,project_prf_application_type,tech_tf_primary_programming_language,project_prf_functional_size,process_pmf_docs,tech_tf_tools_used,project_prf_max_team_size,external_eef_organisation_type_communications,external_eef_organisation_type_general_public_mobile_phone_end_user,external_eef_organisation_type_media,external_eef_organisation_type_telecom,external_eef_organisation_type_telecom_and_networking,external_eef_organisation_type_telecommunication,external_eef_organisation_type_telecommunications,external_eef_organisation_type_virtual_assistants_lingubots,process_pmf_development_methodologies_agile_development,process_pmf_development_methodologies_it_unified_process_itup,process_pmf_development_methodologies_missing,process_pmf_development_methodologies_multifunctional_teams,process_pmf_development_methodologies_rapid_application_development_rad,process_pmf_development_methodologies_timeboxing,process_pmf_development_methodologies_waterfall_incl_linear_processing_and_ssadm,external_eef_industry_sector_communication,project_prf_application_group_business_application,project_prf_application_group_infrastructure_software,project_prf_application_group_mathematically_intensive_application,project_prf_application_group_missing,project_prf_application_group_real_time_application,project_prf_development_type_enhancement,project_prf_development_type_new_development,project_prf_development_type_re_development,tech_tf_development_platform_hand_held,tech_tf_development_platform_mf,tech_tf_development_platform_mr,tech_tf_development_platform_missing,tech_tf_development_platform_multi,tech_tf_development_platform_pc,tech_tf_language_type_2gl,tech_tf_language_type_3gl,tech_tf_language_type_4gl,tech_tf_language_type_missing,functional_size_group_l_1000_2999,functional_size_group_m_100_999,functional_size_group_s_100,project_prf_relative_size_l,project_prf_relative_size_m1,project_prf_relative_size_m2,project_prf_relative_size_missing,project_prf_relative_size_s,project_prf_relative_size_xs,project_prf_relative_size_xxs,process_pmf_prototyping_used_missing,process_pmf_prototyping_used_yes,tech_tf_architecture_client_server,tech_tf_architecture_missing,tech_tf_architecture_multi_tier,tech_tf_architecture_multi_tier_client_server,tech_tf_architecture_multi_tier_with_web_public_interface,tech_tf_architecture_stand_alone,project_prf_team_size_group_2,project_prf_team_size_group_21_30,project_prf_team_size_group_3_4,project_prf_team_size_group_5_8,project_prf_team_size_group_9_14,project_prf_team_size_group_missing,project_prf_case_tool_used_missing,project_prf_case_tool_used_no,project_prf_case_tool_used_yes,tech_tf_client_server_missing,tech_tf_client_server_no,tech_tf_client_server_yes,tech_tf_dbms_used_missing,tech_tf_dbms_used_no,tech_tf_dbms_used_yes
2013,inventory gathering and managing,Java,40.121597,2,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2013,customer relationship management,Siebel,56.375397,5,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2013,customer relationship management,Java,308.37225,1,0,,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2006,integration,Java,221.36917,3,4,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,True,False,False,False,False,True,True,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2012,customer relationship management,TIBCO,112.734474,5,0,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,customer relationship management,Shell,186.41312,4,0,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2013,stock control & order processing,Shell,252.04344,6,0,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,data warehouse system,PL/SQL,91.38295,4,0,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,customer relationship management,Java,94.20602,4,0,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,True,True,False,False,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,integration,Java,126.90043,3,0,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2005,customer relationship management,Shell,139.2093,4,0,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,customer relationship management,Shell,97.65094,2,0,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2007,financial transaction process/accounting,DRIFT,437.18118,6,0,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2009,network management; telecom & networking,Visual Basic,130.99435,2,0,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2011,business application,BPM,44.280144,5,0,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2003,geographic information system,TIBCO,64.959366,8,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,workflow support & management,Siebel,185.11523,2,0,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,embedded system/real-time application,TIBCO,294.8403,3,0,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2005,instant messaging client,Visual Basic,200.21652,3,0,8.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2007,missing,C,169.89023,10,0,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,stock control & order processing,Shell,131.13828,3,0,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,data warehouse system,Java,41.91095,2,0,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2009,embedded system/real-time application,Visual Basic,330.8057,7,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2013,online. esales,Java,77.806335,2,0,,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2011,logistic or supply planning & control,TIBCO,396.7062,1,0,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2004,financial transaction processing & accounting,DRIFT,75.332886,5,0,,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2013,geo information management,DRIFT,91.68647,5,0,,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2010,workflow support & management,Java,96.53349,6,0,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2007,telecom & network management,TIBCO,171.93378,3,0,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,True,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,customer relationship management,Shell,41.655914,3,0,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2007,customer relationship management,TIBCO,359.2706,5,0,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,customer relationship management,Shell,353.93814,3,0,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2009,customer billing,Java,215.1062,8,0,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2002,customer relationship management,Java,50.01627,5,0,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,integration,Java,160.66411,3,0,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,billing and erp,DRIFT,146.08145,3,0,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,online. esales,Shell,183.62483,0,0,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2009,customer relationship management,Shell,97.93887,2,0,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2010,stock control & order processing,Java,276.50552,3,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,customer relationship management,Visual Basic,266.06384,4,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,True,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,stock control & order processing,TIBCO,88.405396,1,0,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,workflow support & management,PL/SQL,39.493652,2,0,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2011,customer relationship management,C,50.606243,1,0,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,online analysis and reporting,Visual Basic,175.41122,3,0,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,geo information management,PL/SQL,265.10147,3,0,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2013,online. esales,Shell,32.340466,2,0,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2004,customer relationship management,TIBCO,150.41225,6,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,stock control & order processing,TIBCO,81.77463,4,0,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2012,integration,Siebel,85.19141,7,0,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,True,False,False,False,False,True,True,False,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2011,customer billing,Java,147.88596,4,2,,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,embedded system/real-time application,ASAP,60.302807,5,0,,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,integration,C++,192.85211,4,0,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,customer relationship management,Java,26.649303,2,0,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2013,customer relationship management,Shell,40.752113,3,0,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2012,missing,C++,193.46878,4,0,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,telecom & network management,Shell,146.55763,3,0,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2013,integration,Java,83.58283,5,0,,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,stock control & order processing,Java,255.5404,3,0,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,data warehouse system,PL/SQL,89.557175,1,2,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,telecommunications,Siebel,111.994286,2,0,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False,True,False,True,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,customer relationship management,Periproducer,248.35191,3,0,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2013,missing,Shell,171.6236,3,0,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2014,online analysis and reporting,Java,134.47519,3,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2004,stock control & order processing,Shell,60.50651,3,0,,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
